order_id,profit,Profit_Tier
IN-2011-59510,6.39000,"Low Profit"
CA-2014-127782,2.87820,"Low Profit"
CA-2014-137414,5.93640,"Low Profit"
IN-2013-26519,128.73600,"High Profit"
IN-2013-86061,0.69000,"Low Profit"
SF-2012-3840,30.81000,"Low Profit"
ES-2012-3898439,4.62600,"Low Profit"
ZI-2013-9260,-5.32500,Loss
IT-2014-1075109,-9.48000,Loss
EG-2014-460,17.70000,"Low Profit"
NI-2014-7110,-2.54400,Loss
EG-2012-4640,5.01000,"Low Profit"
ES-2014-5842530,127.13400,"High Profit"
ES-2014-4794612,22.26000,"Low Profit"
MX-2013-109771,-3.07200,Loss
CA-2013-127138,40.27400,"Low Profit"
ES-2011-5610862,3.00000,"Low Profit"
IS-2011-7290,47.28000,"Low Profit"
US-2013-125675,-1.95200,Loss
ES-2014-5474746,11.10000,"Low Profit"
SO-2012-2390,18.93000,"Low Profit"
UP-2012-110,12.00000,"Low Profit"
ES-2011-1406120,742.35000,"High Profit"
MX-2014-136539,0.00000,"Low Profit"
CA-2014-161172,43.99560,"Low Profit"
MX-2013-146318,10.96000,"Low Profit"
CA-2013-1880,14.10000,"Low Profit"
ES-2011-5083176,0.48000,"Low Profit"
MX-2012-147823,680.60136,"High Profit"
US-2014-123281,6.52860,"Low Profit"
US-2014-123484,-14.28000,Loss
US-2011-120236,-11.52000,Loss
ID-2013-24643,36.77220,"Low Profit"
CA-2014-101308,-20.13620,Loss
IN-2013-51712,15.66000,"Low Profit"
IN-2011-49129,29.82000,"Low Profit"
IR-2011-6250,87.84000,"High Profit"
CA-2011-149958,-31.67120,Loss
RO-2011-6490,97.80000,"High Profit"
ID-2013-55961,-22.55340,Loss
ES-2012-3239309,110.88000,"High Profit"
IR-2013-8790,4.02000,"Low Profit"
CA-2011-128237,15.91800,"Low Profit"
ES-2012-4007496,13.08000,"Low Profit"
MO-2013-2020,38.52000,"Low Profit"
ZI-2013-9260,-133.20000,Loss
ES-2011-2132896,28.62000,"Low Profit"
MX-2014-135055,1.38000,"Low Profit"
RO-2012-9720,2.61000,"Low Profit"
ES-2013-5616549,2.40000,"Low Profit"
CA-2012-110632,9.13140,"Low Profit"
MX-2013-117506,113.64000,"High Profit"
IZ-2014-7340,18.72000,"Low Profit"
IR-2011-7690,7.77000,"Low Profit"
IN-2014-44110,2.28150,"Low Profit"
YM-2012-9880,-320.32800,Loss
CA-2013-102813,0.00000,"Low Profit"
RS-2014-5110,4.08000,"Low Profit"
IS-2012-3230,5.04000,"Low Profit"
RO-2014-2550,16.05000,"Low Profit"
CA-2013-128258,5.55660,"Low Profit"
MX-2014-143462,19.92800,"Low Profit"
IN-2014-21171,123.36000,"High Profit"
US-2013-152842,-6.85200,Loss
MX-2012-113614,65.93440,"High Profit"
MO-2012-6660,323.40000,"High Profit"
RW-2014-680,40.32000,"Low Profit"
RS-2014-4120,976.80000,"High Profit"
CA-2012-132101,39.68790,"Low Profit"
US-2011-148838,-447.59470,Loss
TZ-2011-4790,2.85000,"Low Profit"
EG-2014-1540,1.80000,"Low Profit"
MX-2013-143455,13.38000,"Low Profit"
ES-2014-5640080,37.26000,"Low Profit"
CA-2014-111738,682.51680,"High Profit"
US-2013-113866,6.04000,"Low Profit"
RS-2011-2560,31.41000,"Low Profit"
IN-2014-86558,4.44000,"Low Profit"
US-2013-115819,1.97100,"Low Profit"
SU-2013-8780,2.70000,"Low Profit"
IR-2012-1390,68.70000,"High Profit"
TU-2011-3910,-392.04000,Loss
TU-2013-2580,-108.79200,Loss
CG-2014-5060,0.57000,"Low Profit"
ES-2014-5334183,7.65000,"Low Profit"
US-2012-163433,24.47680,"Low Profit"
MX-2011-165106,32.58000,"Low Profit"
CA-2012-137974,148.10640,"High Profit"
CA-2012-112557,90.82920,"High Profit"
CA-2013-163594,9.33120,"Low Profit"
MX-2014-127537,73.08000,"High Profit"
ES-2014-2968300,11.40000,"Low Profit"
IN-2011-57704,54.09000,"High Profit"
IN-2013-38475,125.27100,"High Profit"
IS-2011-1180,0.84000,"Low Profit"
US-2013-151225,-38.08000,Loss
US-2012-112004,-0.02400,Loss
ES-2013-5506373,413.88000,"High Profit"
CA-2012-100216,10.88640,"Low Profit"
LT-2011-270,55.17000,"High Profit"
ES-2013-1245292,1.17000,"Low Profit"
CA-2014-123071,3.62880,"Low Profit"
IT-2014-2866257,35.64000,"Low Profit"
MX-2013-133256,86.30000,"High Profit"
US-2014-132731,-2.63200,Loss
ES-2012-1517831,76.41000,"High Profit"
US-2014-110611,-7.44000,Loss
CA-2014-121503,49.76100,"Low Profit"
ES-2011-5178055,6.98400,"Low Profit"
CA-2011-100678,1.00800,"Low Profit"
ID-2012-25315,48.20580,"Low Profit"
ES-2014-5467236,0.90000,"Low Profit"
MX-2013-164938,5.52000,"Low Profit"
NI-2014-9770,-8.50500,Loss
ID-2012-82393,-306.21600,Loss
MX-2013-128027,-5.26400,Loss
ES-2013-2734435,81.46800,"High Profit"
NI-2011-8350,-10.69800,Loss
IT-2013-5472233,-165.90000,Loss
MX-2013-169320,187.26000,"High Profit"
ES-2012-1986848,68.41800,"High Profit"
TU-2011-6490,-25.98000,Loss
IN-2011-76842,202.28400,"High Profit"
MO-2011-6140,4.80000,"Low Profit"
MX-2014-147725,3.48000,"Low Profit"
IN-2014-44334,11.61000,"Low Profit"
PL-2012-5180,2.10000,"Low Profit"
ES-2011-3072555,32.55000,"Low Profit"
PL-2013-7230,1.38000,"Low Profit"
ES-2011-5158527,10.80000,"Low Profit"
TU-2014-810,-5.60400,Loss
IN-2013-22438,19.98000,"Low Profit"
CA-2014-8860,14.76000,"Low Profit"
IN-2012-40225,214.85700,"High Profit"
IN-2011-50613,20.37000,"Low Profit"
IN-2011-74490,20.16000,"Low Profit"
ES-2013-3285041,397.62000,"High Profit"
IR-2014-5870,4.26000,"Low Profit"
IN-2011-38111,0.32400,"Low Profit"
CA-2013-146423,24.88320,"Low Profit"
IT-2012-5084286,-60.76800,Loss
ES-2014-5747773,1.08000,"Low Profit"
US-2014-132031,1.05000,"Low Profit"
IN-2012-44474,-2.34000,Loss
MX-2011-134705,35.36000,"Low Profit"
CA-2013-167682,124.78080,"High Profit"
IN-2012-31741,47.52000,"Low Profit"
SF-2013-9440,4.89000,"Low Profit"
US-2014-153255,14.09800,"Low Profit"
US-2014-127600,-41.06400,Loss
IT-2014-5563463,-7.74000,Loss
ES-2013-3963045,25.11000,"Low Profit"
MX-2014-154739,106.72000,"High Profit"
IN-2014-33666,13.20000,"Low Profit"
US-2014-165267,-124.66400,Loss
TZ-2014-7370,226.80000,"High Profit"
CA-2013-123050,7.43760,"Low Profit"
IZ-2011-2730,14.49000,"Low Profit"
IN-2013-76828,18.81000,"Low Profit"
KE-2011-6610,21.15000,"Low Profit"
EG-2013-1510,36.81000,"Low Profit"
IT-2011-3076849,5.22000,"Low Profit"
IN-2012-33288,4.38000,"Low Profit"
MX-2014-134768,-17.65820,Loss
CA-2014-117401,2.29900,"Low Profit"
CA-2012-9610,24.24000,"Low Profit"
IN-2014-29900,1.44990,"Low Profit"
ES-2014-1920688,170.10000,"High Profit"
MX-2012-111976,-1.99200,Loss
UP-2012-8260,11.94000,"Low Profit"
MX-2013-142678,1.24000,"Low Profit"
IT-2013-1961543,112.14000,"High Profit"
ES-2013-2700361,67.94100,"High Profit"
MX-2012-154088,31.60000,"Low Profit"
CA-2011-169061,45.97540,"Low Profit"
MX-2012-134817,-17.87200,Loss
ID-2012-51677,-4.89780,Loss
CA-2014-100748,27.48560,"Low Profit"
RO-2011-7220,16.59000,"Low Profit"
GV-2014-9540,0.00000,"Low Profit"
IN-2013-38685,413.04000,"High Profit"
SF-2014-5070,67.80000,"High Profit"
AG-2013-5820,5.76000,"Low Profit"
SF-2013-630,3.12000,"Low Profit"
IN-2014-82036,4.44000,"Low Profit"
IN-2014-58236,10.05300,"Low Profit"
MX-2013-160997,3.72000,"Low Profit"
IN-2014-22137,21.06000,"Low Profit"
CA-2012-145485,15.70000,"Low Profit"
IN-2011-45867,-22.77000,Loss
US-2011-160444,-35.17800,Loss
CA-2014-109757,0.61920,"Low Profit"
CA-2013-133725,148.49460,"High Profit"
MX-2014-163195,2.64000,"Low Profit"
TZ-2014-5550,11.19000,"Low Profit"
US-2011-144078,-316.28000,Loss
ES-2014-1398657,23.10000,"Low Profit"
EG-2013-4530,1072.44000,"High Profit"
AO-2011-9910,11.04000,"Low Profit"
IN-2014-74805,0.78000,"Low Profit"
ES-2013-5113556,194.40000,"High Profit"
IT-2013-1109084,-0.06300,Loss
CG-2013-2860,8.73000,"Low Profit"
CA-2011-151001,3.90720,"Low Profit"
IN-2011-30292,523.08000,"High Profit"
ES-2012-5566593,179.95800,"High Profit"
LY-2014-6400,2.94000,"Low Profit"
RW-2012-600,7.08000,"Low Profit"
UP-2014-3650,83.16000,"High Profit"
MX-2013-134180,9.40000,"Low Profit"
TU-2013-3550,-64.00800,Loss
IN-2011-26967,-137.34900,Loss
CA-2013-111913,30.23840,"Low Profit"
CA-2012-166604,8.79060,"Low Profit"
CA-2011-127166,-31.00800,Loss
CA-2013-149783,8.33280,"Low Profit"
ML-2014-720,8.61000,"Low Profit"
IN-2013-76681,0.82080,"Low Profit"
ES-2012-2268105,-83.41200,Loss
IN-2014-72747,840.63000,"High Profit"
CA-2012-132941,11.73340,"Low Profit"
MX-2013-121405,40.46000,"Low Profit"
IN-2012-66342,11.88000,"Low Profit"
ID-2013-77248,-6.69060,Loss
MX-2012-145653,20.36000,"Low Profit"
SA-2014-8450,59.19000,"High Profit"
ES-2013-3508441,31.27200,"Low Profit"
GH-2014-2090,28.62000,"Low Profit"
MX-2013-123015,11.20000,"Low Profit"
ES-2013-2757712,1042.32000,"High Profit"
CA-2013-122728,8.79060,"Low Profit"
ID-2014-51803,-7.80480,Loss
RS-2011-1890,47.85000,"Low Profit"
CA-2012-144386,8.87040,"Low Profit"
MX-2011-147718,18.08000,"Low Profit"
MX-2012-153780,20.10000,"Low Profit"
MX-2013-131387,12.20000,"Low Profit"
US-2012-103814,-40.76400,Loss
ID-2013-52370,-232.50000,Loss
US-2011-119935,-0.79200,Loss
ES-2011-2464932,26.73000,"Low Profit"
CA-2013-100300,50.32800,"High Profit"
ID-2014-39441,-1.93080,Loss
ID-2013-48555,-4.00950,Loss
CA-2012-122287,-6.10400,Loss
CA-2011-110030,-14.38560,Loss
MX-2012-134712,26.88000,"Low Profit"
KZ-2011-4170,-185.11200,Loss
MX-2014-104304,20.04000,"Low Profit"
TU-2013-1610,-3.82800,Loss
IN-2014-77689,30.84000,"Low Profit"
MX-2014-122567,12.60000,"Low Profit"
EN-2014-1040,6.00000,"Low Profit"
ID-2014-11098,15.10800,"Low Profit"
EG-2012-40,14.34000,"Low Profit"
PL-2011-7410,2.97000,"Low Profit"
CA-2014-126865,41.82300,"Low Profit"
MX-2014-153192,4.72000,"Low Profit"
ES-2014-1960568,39.57300,"Low Profit"
ES-2013-2993189,-172.28700,Loss
US-2013-152373,-17.52300,Loss
IN-2014-55086,2.16000,"Low Profit"
CA-2011-146640,108.79960,"High Profit"
IN-2014-41163,27.09000,"Low Profit"
BU-2012-7140,6.18000,"Low Profit"
KE-2014-3820,1.26000,"Low Profit"
ID-2012-45363,-6.94500,Loss
ID-2013-29151,2.10000,"Low Profit"
MX-2011-166331,-3.00800,Loss
MX-2014-142048,2.44000,"Low Profit"
IN-2013-58873,32.40000,"Low Profit"
EG-2012-6420,12.72000,"Low Profit"
IN-2012-72229,32.12100,"Low Profit"
ES-2014-1779830,35.40000,"Low Profit"
IN-2013-53609,-38.54340,Loss
TU-2014-4980,-8.98200,Loss
MX-2014-110961,15.65140,"Low Profit"
ES-2014-1393638,341.73000,"High Profit"
IT-2014-5285883,-0.13500,Loss
ES-2014-1879715,29.28000,"Low Profit"
ID-2013-83226,3.75600,"Low Profit"
CA-2013-149965,0.55200,"Low Profit"
MX-2013-119970,5.24000,"Low Profit"
TU-2013-3080,-68.89800,Loss
EG-2013-1620,4.50000,"Low Profit"
IN-2013-62093,-29.24400,Loss
IT-2011-4752666,-0.03000,Loss
IN-2013-39231,11.08800,"Low Profit"
ID-2014-75533,-29.68200,Loss
BO-2014-2490,8.52000,"Low Profit"
MX-2012-153612,10.96000,"Low Profit"
US-2012-163825,1143.89100,"High Profit"
IN-2013-34583,1.22400,"Low Profit"
CA-2011-130624,26.86500,"Low Profit"
US-2013-165078,24.84000,"Low Profit"
GV-2013-5210,28.32000,"Low Profit"
ID-2013-75372,-52.74180,Loss
TU-2011-6800,-2.35200,Loss
IZ-2012-6910,28.17000,"Low Profit"
CA-2013-160500,7.46940,"Low Profit"
IN-2014-62849,129.42000,"High Profit"
ID-2014-29081,-16.20000,Loss
CA-2013-144092,9.96520,"Low Profit"
CA-2011-154963,-4.85880,Loss
CM-2011-1770,27.36000,"Low Profit"
MX-2014-166086,8.68000,"Low Profit"
US-2012-113649,-18.82800,Loss
TU-2013-3210,-64.69200,Loss
ES-2012-3241112,246.85200,"High Profit"
MO-2011-9460,10.98000,"Low Profit"
IN-2013-49297,21.90000,"Low Profit"
MX-2012-113817,56.10000,"High Profit"
CA-2012-115945,27.73500,"Low Profit"
BO-2012-5160,743.40000,"High Profit"
SF-2014-2410,11.70000,"Low Profit"
MX-2014-122021,1.15200,"Low Profit"
CG-2013-1870,1.26000,"Low Profit"
ES-2014-1666831,17.28000,"Low Profit"
ES-2013-1217902,100.92000,"High Profit"
US-2011-165316,6.56000,"Low Profit"
IN-2014-16852,73.32000,"High Profit"
ES-2013-1680695,-3.49800,Loss
MX-2011-144827,25.32000,"Low Profit"
US-2013-167472,30.78720,"Low Profit"
IN-2011-60560,413.49000,"High Profit"
NI-2013-5540,-7.03200,Loss
KE-2013-5450,15.84000,"Low Profit"
PL-2013-5500,53.16000,"High Profit"
MX-2012-115945,11.76000,"Low Profit"
US-2011-165477,0.28000,"Low Profit"
CA-2012-164427,105.46800,"High Profit"
CA-2012-124891,9.33120,"Low Profit"
IT-2013-1537853,17.77200,"Low Profit"
US-2011-114965,-45.86400,Loss
MO-2012-2390,48.12000,"Low Profit"
MX-2013-141159,166.08000,"High Profit"
ES-2013-1253344,11.10000,"Low Profit"
ES-2012-5100288,10.80000,"Low Profit"
MX-2012-158925,35.84000,"Low Profit"
IT-2014-5137649,-145.44000,Loss
IT-2014-5707545,101.76000,"High Profit"
ES-2013-3167494,208.80000,"High Profit"
NI-2014-3890,-121.94400,Loss
CA-2011-143903,-140.19600,Loss
TZ-2012-220,16.08000,"Low Profit"
MX-2011-103345,44.07900,"Low Profit"
IN-2012-13037,0.00000,"Low Profit"
IN-2013-64368,3.78000,"Low Profit"
MX-2013-153094,0.00000,"Low Profit"
ZA-2012-3540,0.96000,"Low Profit"
US-2011-124310,-35.08800,Loss
NI-2012-1930,-49.63500,Loss
US-2011-112984,-1.74400,Loss
IN-2013-24762,20.14800,"Low Profit"
US-2014-136868,7.66800,"Low Profit"
IN-2013-26659,100.80000,"High Profit"
CA-2014-100013,2.96820,"Low Profit"
ES-2012-1439531,411.00000,"High Profit"
IN-2012-19043,6.72600,"Low Profit"
ID-2013-49248,31.17060,"Low Profit"
RO-2014-7230,24.72000,"Low Profit"
MX-2014-121986,18.12000,"Low Profit"
IN-2014-78802,-104.85180,Loss
MA-2013-870,9.48000,"Low Profit"
MX-2012-119641,2.38000,"Low Profit"
ES-2011-1656997,1.08000,"Low Profit"
IN-2012-44705,-74.40000,Loss
US-2013-168095,23.02800,"Low Profit"
ES-2014-4451711,2.52000,"Low Profit"
ES-2014-1808409,53.46000,"High Profit"
US-2011-144729,-68.17600,Loss
IN-2014-82652,0.45000,"Low Profit"
IN-2012-85480,102.06000,"High Profit"
CA-2012-140025,47.99400,"Low Profit"
ES-2012-3208808,59.35950,"High Profit"
CA-2013-144855,3.02400,"Low Profit"
MX-2012-122273,54.00000,"High Profit"
CG-2014-870,3.96000,"Low Profit"
IN-2013-46896,15.84000,"Low Profit"
IT-2012-2197138,-95.99400,Loss
UZ-2011-8840,18.33000,"Low Profit"
ID-2011-21402,-26.82000,Loss
CA-2013-120180,1.01780,"Low Profit"
US-2011-150406,-358.04800,Loss
ID-2011-17286,-24.62580,Loss
MX-2014-112431,74.56000,"High Profit"
CA-2011-117464,19.16460,"Low Profit"
ES-2014-5119760,93.36000,"High Profit"
CA-2012-160472,11.88000,"Low Profit"
IN-2013-31825,14.94000,"Low Profit"
IN-2012-46560,145.50240,"High Profit"
IN-2014-48982,188.40000,"High Profit"
IT-2014-1555885,-7.77000,Loss
CA-2012-146255,33.25440,"Low Profit"
MX-2013-102092,9.48000,"Low Profit"
CA-2014-107720,12.02760,"Low Profit"
ES-2012-3596491,38.61000,"Low Profit"
MX-2013-123463,33.28000,"Low Profit"
KZ-2014-6760,-139.60800,Loss
CA-2011-117765,15.38880,"Low Profit"
MX-2012-114251,132.64000,"High Profit"
ES-2014-5117456,46.26000,"Low Profit"
ES-2012-5954014,240.84000,"High Profit"
ES-2013-1521931,9.78000,"Low Profit"
TU-2014-950,-23.35200,Loss
CA-2012-8480,124.08000,"High Profit"
TU-2013-1120,-17.93400,Loss
ES-2014-2638373,233.64000,"High Profit"
MX-2014-137204,124.10000,"High Profit"
IN-2013-74329,0.48600,"Low Profit"
IN-2011-42759,11.83500,"Low Profit"
MX-2014-131765,452.76000,"High Profit"
UG-2013-9250,-5.48700,Loss
IN-2014-67238,123.72000,"High Profit"
TU-2012-1970,-4.90800,Loss
MX-2014-112760,1.76000,"Low Profit"
ID-2011-66475,-953.44200,Loss
CA-2014-129021,327.59220,"High Profit"
ES-2014-5091205,37.80000,"Low Profit"
MX-2013-102694,6.82400,"Low Profit"
ES-2013-4827951,-252.95850,Loss
IN-2011-12043,63.00000,"High Profit"
ID-2011-76520,-1.19700,Loss
ES-2012-5515506,18.54000,"Low Profit"
PL-2012-7820,276.84000,"High Profit"
US-2013-106313,9.33120,"Low Profit"
NI-2014-1900,-62.11800,Loss
IN-2014-85417,104.28000,"High Profit"
NI-2013-6450,-6.06000,Loss
CA-2012-164007,-393.60200,Loss
US-2013-141544,-67.87620,Loss
US-2013-117793,17.66730,"Low Profit"
TU-2011-750,-22.12200,Loss
CA-2013-123414,3.34080,"Low Profit"
MX-2014-131765,3.72000,"Low Profit"
IT-2014-4483445,-2.25000,Loss
ID-2014-55338,-392.89200,Loss
MX-2013-157735,24.70000,"Low Profit"
ES-2013-4147391,239.94000,"High Profit"
CA-2012-164441,8.07300,"Low Profit"
IN-2012-83254,32.34000,"Low Profit"
EG-2013-2110,496.32000,"High Profit"
ID-2014-42388,-17.22000,Loss
IN-2011-69443,9.07050,"Low Profit"
ES-2012-2396725,19.35000,"Low Profit"
TU-2014-3270,-11.62200,Loss
ES-2011-4801998,45.36000,"Low Profit"
US-2011-115987,-79.33520,Loss
CA-2013-105585,69.70500,"High Profit"
CA-2014-146920,7.92000,"Low Profit"
NI-2011-9240,-89.75400,Loss
ES-2011-5335590,60.74400,"High Profit"
GG-2011-3530,31.20000,"Low Profit"
CA-2013-147585,6.22440,"Low Profit"
US-2011-122385,12.86400,"Low Profit"
US-2011-115413,52.48950,"High Profit"
ES-2012-2740636,29.79000,"Low Profit"
ES-2011-2972550,12.84000,"Low Profit"
IN-2014-24951,13.80000,"Low Profit"
ES-2014-4554406,121.77000,"High Profit"
IT-2012-2825037,2.94000,"Low Profit"
US-2014-149048,-50.85600,Loss
US-2011-103933,-3.50400,Loss
CA-2011-124737,1.26720,"Low Profit"
ID-2014-77710,-44.45760,Loss
ES-2013-4777583,95.64000,"High Profit"
US-2014-101651,-306.10800,Loss
IN-2013-55135,45.00000,"Low Profit"
ID-2013-19960,-31.87800,Loss
MX-2014-159779,23.04000,"Low Profit"
ID-2014-85851,-0.00600,Loss
TU-2012-60,-31.75200,Loss
CA-2013-155670,3.21000,"Low Profit"
CA-2012-107902,122.29360,"High Profit"
MX-2014-104486,4.40000,"Low Profit"
RS-2011-6190,84.12000,"High Profit"
IN-2011-67028,-7.42500,Loss
ES-2014-3688258,-41.94000,Loss
US-2014-103828,22.62330,"Low Profit"
IN-2011-71060,4.18200,"Low Profit"
